Player,Team,Age,GP,W,L,Mins,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Mason Plumlee,DEN,30,53,35,18,17.0,7.2,2.9,4.7,61.7,0.0,0.1,0.0,1.4,2.6,53.6,1.7,3.6,5.3,2.4,1.4,0.5,0.6,2.4,19.2,2,0,-0.2
P.J. Tucker,HOU,34,64,40,24,34.4,7.1,2.5,5.8,43.3,1.5,4.0,37.0,0.6,0.7,84.1,1.6,5.3,6.9,1.6,1.0,1.1,0.5,3.3,21.4,6,0,2.3
Rajon Rondo,LAL,34,48,37,11,20.5,7.1,2.9,6.8,41.8,0.9,2.6,32.8,0.6,0.9,65.9,0.5,2.5,3.0,5.0,1.9,0.8,0.0,1.2,18.9,2,0,0.9
Harry Giles III,SAC,22,38,19,19,15.2,7.0,3.1,5.4,56.0,0.0,0.0,0.0,0.9,1.1,76.7,0.9,3.3,4.2,1.3,0.9,0.6,0.4,2.6,15.8,1,0,-2.7
Denzel Valentine,CHI,26,36,12,24,13.6,6.8,2.7,6.6,40.9,1.3,3.8,33.6,0.2,0.2,75.0,0.3,1.8,2.1,1.2,0.7,0.7,0.2,1.4,13.0,0,0,-1.1
Nicolo Melli,NOP,29,52,24,28,17.1,6.8,2.4,5.3,44.2,1.3,3.5,36.1,0.8,1.2,73.3,0.7,2.3,3.0,1.3,0.8,0.6,0.4,2.0,14.4,0,0,-1.8
Ersan Ilyasova,MIL,32,56,45,11,16.0,6.8,2.4,5.2,47.2,0.8,2.2,37.1,1.1,1.3,82.7,1.1,3.9,4.9,0.8,0.6,0.4,0.3,1.6,15.4,4,0,2.2
JaVale McGee,LAL,32,61,48,13,16.8,6.8,3.0,4.6,64.0,0.0,0.1,50.0,0.8,1.2,65.3,1.8,4.0,5.8,0.6,0.8,0.5,1.5,2.4,19.9,2,0,3.1
Kyle Korver,MIL,39,50,40,10,16.7,6.7,2.2,5.2,42.9,1.7,4.1,41.5,0.6,0.7,82.4,0.3,1.8,2.1,1.2,0.8,0.4,0.2,1.4,12.2,0,0,3.0
Damyean Dotson,NYK,25,48,14,34,17.4,6.7,2.5,6.0,41.4,1.2,3.4,36.2,0.5,0.7,66.7,0.2,1.7,1.9,1.2,0.4,0.5,0.1,0.9,12.0,0,0,-1.8
Dragan Bender,GSW,22,16,10,6,17.8,6.7,2.6,5.8,44.6,0.9,2.7,34.9,0.6,0.9,71.4,1.0,3.6,4.6,1.8,1.3,0.3,0.6,2.6,15.9,0,0,-0.3
Keita Bates-Diop,DEN,24,39,10,29,17.1,6.6,2.3,5.3,42.8,0.8,2.4,33.0,1.3,1.8,71.0,0.5,2.3,2.9,0.8,0.4,0.4,0.5,1.0,13.8,0,0,-4.1
Brad Wanamaker,BOS,30,63,43,20,19.3,6.6,2.2,5.0,42.8,0.5,1.4,36.7,1.7,1.8,93.1,0.3,1.7,2.0,2.5,1.1,0.8,0.2,1.9,14.6,0,0,1.0
T.J. McConnell,IND,28,63,38,25,18.9,6.5,3.0,5.7,51.7,0.1,0.2,33.3,0.5,0.6,83.3,0.5,2.1,2.6,5.0,1.4,0.7,0.2,1.1,18.4,2,0,0.6
JaMychal Green,LAC,29,55,38,17,20.5,6.5,2.3,5.5,41.4,1.3,3.7,36.3,0.6,0.8,72.7,1.4,5.0,6.3,0.8,0.8,0.5,0.4,2.7,16.9,7,0,2.6
Allonzo Trier,NYK,24,24,2,22,12.1,6.5,2.1,4.4,48.1,0.8,2.2,35.8,1.4,1.8,79.1,0.3,1.0,1.2,1.2,0.9,0.1,0.2,1.2,9.6,0,0,-3.0
Kevin Knox II,NYK,20,65,21,44,17.9,6.4,2.2,6.2,35.9,1.0,3.1,32.7,1.0,1.6,65.3,0.4,2.4,2.8,0.9,0.7,0.4,0.4,1.6,12.9,0,0,-2.8
Trey Lyles,SAS,24,63,27,36,20.2,6.4,2.4,5.4,44.6,1.0,2.7,38.7,0.5,0.7,73.3,1.1,4.6,5.7,1.1,0.6,0.4,0.4,1.6,17.0,2,0,-0.9
CJ Miles,WAS,33,10,4,6,16.1,6.4,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2.0,75.0,0.4,0.8,1.2,1.2,0.4,1.0,0.4,1.4,13.4,0,0,-0.8
Sekou Doumbouya,DET,19,38,10,28,19.8,6.4,2.4,6.2,39.0,0.7,2.6,28.6,0.8,1.2,67.4,0.5,2.6,3.1,0.5,0.9,0.5,0.2,2.1,12.2,2,0,-4.6
